 Pd/N/H/Cr/O                                                                     
  WAVELENGTH 1.54056
  SPACE GROUP : P 21/C                              
 A=  7.7701      B= 11.5770      C= 11.8509
 ALPHA= 90.000   BETA=105.501    GAMMA= 90.000
 TOTAL NUMBER OF HKL :   829
    H   K   L  MULT   d(A)    2-theta(°)
    4   1   3   4    1.5129    61.214
    2   7   0   4    1.5128    61.219
    4   4   1   4    1.5119    61.258
    4   2  -6   4    1.5054    61.553
    3   6  -3   4    1.5043    61.602
    2   7  -2   4    1.5031    61.658
    0   3   7   4    1.5026    61.678
    1   5  -6   4    1.5026    61.680
    3   4  -6   4    1.5017    61.721
    5   0  -4   2    1.5014    61.734
    5   2  -2   4    1.5009    61.760
    1   1   7   4    1.4994    61.825
    2   4   5   4    1.4992    61.837
    3   5  -5   4    1.4991    61.842
    5   0   0   2    1.4975    61.914
    2   6   3   4    1.4966    61.955
    1   6  -5   4    1.4959    61.987
    1   4   6   4    1.4894    62.286
    5   2  -3   4    1.4890    62.305
    5   1  -4   4    1.4890    62.308
    5   2  -1   4    1.4871    62.395
    2   2   6   4    1.4870    62.400
    4   5  -2   4    1.4864    62.426
    5   1   0   4    1.4851    62.487
    3   1   5   4    1.4850    62.493
    4   5  -1   4    1.4832    62.579
    3   6   1   4    1.4816    62.653
    2   7   1   4    1.4791    62.772
    1   0  -8   2    1.4767    62.884
    2   5  -6   4    1.4762    62.909
    4   2   3   4    1.4756    62.937
    0   6   5   4    1.4739    63.016
    2   0  -8   2    1.4711    63.151
    0   5   6   4    1.4703    63.189
    4   5  -3   4    1.4650    63.444
    1   1  -8   4    1.4648    63.452
    1   2   7   4    1.4631    63.538
    2   7  -3   4    1.4611    63.636
    2   6  -5   4    1.4600    63.688
    1   4  -7   4    1.4599    63.692
    2   1  -8   4    1.4594    63.718
    1   7   3   4    1.4568    63.844
    4   4  -5   4    1.4564    63.863
    4   5   0   4    1.4557    63.899
    3   3  -7   4    1.4553    63.915
    3   5   3   4    1.4550    63.930
    5   2  -4   4    1.4533    64.014
    5   2   0   4    1.4498    64.190
    3   2   5   4    1.4497    64.196
    3   6  -4   4    1.4482    64.268
    0   8   0   2    1.4471    64.322
    3   4   4   4    1.4470    64.329
    4   3  -6   4    1.4455    64.401
    2   4  -7   4    1.4450    64.429
    1   7  -4   4    1.4417    64.593
    5   3  -2   4    1.4415    64.602
    0   8   1   4    1.4356    64.899
    4   4   2   4    1.4352    64.919
    0   7   4   4    1.4311    65.131
    5   3  -3   4    1.4310    65.135
    1   2  -8   4    1.4309    65.142
    5   1  -5   4    1.4303    65.171
    5   3  -1   4    1.4293    65.222
    2   3   6   4    1.4292    65.227
    0   0   8   2    1.4275    65.316
    2   2  -8   4    1.4258    65.404
    5   1   1   4    1.4252    65.433
    2   7   2   4    1.4248    65.456
    4   1  -7   4    1.4234    65.526
    4   5  -4   4    1.4219    65.603
    0   4   7   4    1.4212    65.642
    1   8   0   4    1.4208    65.660
    4   3   3   4    1.4191    65.751
    1   8  -1   4    1.4188    65.766
    3   6   2   4    1.4180    65.806
    0   1   8   4    1.4167    65.873
    3   0  -8   2    1.4124    66.100
    1   3   7   4    1.4079    66.339
    4   5   1   4    1.4078    66.348
    4   0   4   2    1.4029    66.608
    0   8   2   4    1.4028    66.614
    3   1  -8   4    1.4020    66.654
    1   8   1   4    1.4013    66.694
    1   6   5   4    1.4011    66.704
    2   7  -4   4    1.4008    66.721
    3   5  -6   4    1.3995    66.792
    5   3  -4   4    1.3993    66.804
    5   2  -5   4    1.3986    66.837
    2   5   5   4    1.3974    66.903
    2   6   4   4    1.3967    66.944
    5   3   0   4    1.3961    66.976
    3   3   5   4    1.3960    66.981
    1   8  -2   4    1.3955    67.009
    5   2   1   4    1.3939    67.096
    3   7  -1   4    1.3934    67.121
    4   1   4   4    1.3927    67.160
    4   2  -7   4    1.3922    67.187
    1   5   6   4    1.3895    67.333
    3   7  -2   4    1.3877    67.435
    0   2   8   4    1.3860    67.530
    3   4  -7   4    1.3810    67.808
    1   6  -6   4    1.3802    67.852
    1   3  -8   4    1.3792    67.907
    3   7   0   4    1.3786    67.937
    3   6  -5   4    1.3774    68.006
    2   3  -8   4    1.3746    68.164
    4   4  -6   4    1.3726    68.279
    3   2  -8   4    1.3722    68.301
    1   7   4   4    1.3721    68.303
    5   4  -2   4    1.3691    68.474
    5   0  -6   2    1.3679    68.546
    4   6  -2   4    1.3676    68.561
    1   5  -7   4    1.3655    68.684
    4   6  -1   4    1.3651    68.708
    4   2   4   4    1.3634    68.801
    1   8   2   4    1.3627    68.844
    4   5  -5   4    1.3626    68.849
    3   7  -3   4    1.3622    68.870
    5   0   2   2    1.3619    68.886
    5   4  -3   4    1.3601    68.991
    2   6  -6   4    1.3596    69.023
    5   4  -1   4    1.3587    69.076
    2   4   6   4    1.3586    69.081
    5   1  -6   4    1.3584    69.090
    2   1   7   4    1.3582    69.101
    2   7   3   4    1.3565    69.203
    1   7  -5   4    1.3560    69.233
    2   8  -1   4    1.3558    69.244
    0   6   6   4    1.3550    69.289
    3   5   4   4    1.3549    69.298
    1   8  -3   4    1.3538    69.359
    2   5  -7   4    1.3532    69.394
    0   8   3   4    1.3527    69.426
    5   1   2   4    1.3526    69.429
    4   6  -3   4    1.3509    69.532
    5   3  -5   4    1.3502    69.569
    4   4   3   4    1.3499    69.591
    2   8   0   4    1.3498    69.595
    3   0   6   2    1.3495    69.613
    5   3   1   4    1.3459    69.823
    3   7   1   4    1.3453    69.863
    4   5   2   4    1.3452    69.867
    4   3  -7   4    1.3444    69.913
    4   6   0   4    1.3435    69.967
    3   6   3   4    1.3430    69.997
    2   8  -2   4    1.3429    70.006
    3   1   6   4    1.3404    70.153
    1   4   7   4    1.3403    70.163
    0   7   5   4    1.3395    70.206
    0   3   8   4    1.3388    70.249
    1   0   8   2    1.3380    70.300
    0   5   7   4    1.3336    70.564
    5   4  -4   4    1.3328    70.616
    5   2  -6   4    1.3312    70.710
    2   2   7   4    1.3310    70.721
    5   4   0   4    1.3300    70.784
    3   4   5   4    1.3299    70.789
    1   1   8   4    1.3291    70.838
    2   7  -5   4    1.3290    70.843
    3   3  -8   4    1.3264    71.007
    5   2   2   4    1.3257    71.047
    2   8   1   4    1.3257    71.052
    3   7  -4   4    1.3201    71.395
    4   3   4   4    1.3185    71.498
    4   0  -8   2    1.3175    71.560
    4   6  -4   4    1.3169    71.600
    1   4  -8   4    1.3154    71.692
    3   2   6   4    1.3143    71.763
    2   8  -3   4    1.3126    71.865
    2   4  -8   4    1.3114    71.943
    1   8   3   4    1.3095    72.061
    4   1  -8   4    1.3090    72.094
    4   6   1   4    1.3056    72.315
    2   1  -9   4    1.3048    72.367
    1   2   8   4    1.3036    72.441
    1   1  -9   4    1.3017    72.563
    3   5  -7   4    1.3002    72.661
    3   6  -6   4    1.2990    72.742
    1   8  -4   4    1.2986    72.769
    2   6   5   4    1.2973    72.849
    3   7   2   4    1.2972    72.860
    6   0  -2   2    1.2934    73.108
    4   5  -6   4    1.2932    73.118
    1   6   6   4    1.2910    73.263
    0   8   4   4    1.2908    73.278
    5   5  -2   4    1.2903    73.308
    5   4  -5   4    1.2902    73.316
    5   3  -6   4    1.2893    73.377
    2   3   7   4    1.2891    73.388
    5   4   1   4    1.2865    73.564
    2   8   2   4    1.2861    73.586
    6   1  -2   4    1.2854    73.637
    4   4  -7   4    1.2851    73.652
    4   2  -8   4    1.2846    73.686
    6   1  -3   4    1.2845    73.696
    5   3   2   4    1.2843    73.708
    1   7   5   4    1.2842    73.717
    5   5  -3   4    1.2828    73.810
    5   5  -1   4    1.2816    73.893
    2   5   6   4    1.2815    73.898
    4   1   5   4    1.2808    73.943
    2   7   4   4    1.2807    73.947
    2   2  -9   4    1.2806    73.957
    0   4   8   4    1.2802    73.982
    5   1  -7   4    1.2800    73.996
    0   9   1   4    1.2782    74.116
    1   2  -9   4    1.2777    74.151
    6   0  -4   2    1.2754    74.312
    4   5   3   4    1.2742    74.393
    5   1   3   4    1.2739    74.409
    3   3   6   4    1.2739    74.415
    1   6  -7   4    1.2716    74.567
    6   1  -1   4    1.2702    74.662
    3   1  -9   4    1.2697    74.701
    3   4  -8   4    1.2693    74.724
    4   6  -5   4    1.2693    74.726
    2   8  -4   4    1.2684    74.788
    1   7  -6   4    1.2680    74.818
    1   9   0   4    1.2678    74.833
    6   1  -4   4    1.2677    74.838
    1   9  -1   4    1.2663    74.933
    1   5   7   4    1.2661    74.950
    3   7  -5   4    1.2659    74.965
    1   3   8   4    1.2642    75.084
    3   6   4   4    1.2631    75.160
    3   8  -1   4    1.2629    75.169
    4   4   4   4    1.2624    75.206
    6   2  -2   4    1.2622    75.217
    2   6  -7   4    1.2617    75.254
    6   2  -3   4    1.2614    75.276
    0   1   9   4    1.2613    75.282
    5   5  -4   4    1.2598    75.392
    3   8  -2   4    1.2587    75.468
    4   7  -2   4    1.2582    75.499
    4   2   5   4    1.2579    75.521
    5   5   0   4    1.2574    75.556
    3   5   5   4    1.2574    75.560
    5   2  -7   4    1.2572    75.573
    4   7  -1   4    1.2562    75.640
    4   6   2   4    1.2552    75.711
    0   9   2   4    1.2549    75.736
    1   9   1   4    1.2538    75.812
    2   7  -6   4    1.2520    75.943
    3   8   0   4    1.2519    75.948
    5   2   3   4    1.2514    75.983
    1   9  -2   4    1.2496    76.110
    0   7   6   4    1.2484    76.199
    6   0   0   2    1.2479    76.234
    6   2  -1   4    1.2479    76.235
    3   2  -9   4    1.2474    76.274
    1   8   4   4    1.2470    76.297
    4   3  -8   4    1.2468    76.312
    0   6   7   4    1.2458    76.388
    6   2  -4   4    1.2455    76.410
    4   7  -3   4    1.2452    76.434
    1   5  -8   4    1.2450    76.442
    2   3  -9   4    1.2431    76.580
    2   5  -8   4    1.2417    76.687
    6   1   0   4    1.2407    76.756
    1   3  -9   4    1.2405    76.772
    3   8  -3   4    1.2396    76.840
    0   2   9   4    1.2394    76.850
    4   7   0   4    1.2394    76.853
    3   7   3   4    1.2390    76.882
    6   1  -5   4    1.2368    77.047
    5   4  -6   4    1.2367    77.051
    2   4   7   4    1.2366    77.061
    2   8   3   4    1.2352    77.159
    1   8  -5   4    1.2349    77.188
    5   4   2   4    1.2323    77.376
    2   0   8   2    1.2289    77.629
    3   8   1   4    1.2268    77.792
    6   3  -2   4    1.2263    77.826
    1   9   2   4    1.2259    77.855
    6   3  -3   4    1.2256    77.884
    5   5  -5   4    1.2236    78.030
    3   4   6   4    1.2231    78.071
    0   8   5   4    1.2224    78.122
    4   3   5   4    1.2224    78.126
    2   1   8   4    1.2221    78.147
    5   3  -7   4    1.2217    78.178
    2   9  -1   4    1.2209    78.237
    5   5   1   4    1.2204    78.273
    6   2   0   4    1.2199    78.315
    1   9  -3   4    1.2195    78.347
    4   5  -7   4    1.2193    78.359
    0   9   3   4    1.2186    78.411
    3   6  -7   4    1.2184    78.426
    4   7  -4   4    1.2184    78.431
    3   1   7   4    1.2172    78.524
    2   9   0   4    1.2165    78.573
    5   3   3   4    1.2164    78.584
    6   2  -5   4    1.2161    78.604
    0   5   8   4    1.2151    78.682
    1   4   8   4    1.2145    78.730
    2   8  -5   4    1.2144    78.736
    6   3  -1   4    1.2132    78.833
    3   3  -9   4    1.2127    78.871
    4   6  -6   4    1.2127    78.872
    2   9  -2   4    1.2115    78.966
    6   3  -4   4    1.2109    79.006
    5   6  -2   4    1.2103    79.057
    4   7   1   4    1.2094    79.125
    3   8  -4   4    1.2076    79.267
    5   0  -8   2    1.2068    79.330
    3   5  -8   4    1.2058    79.410
    0   3   9   4    1.2054    79.442
    4   1  -9   4    1.2048    79.488
    3   7  -6   4    1.2042    79.539
    5   6  -3   4    1.2041    79.547
    5   6  -1   4    1.2030    79.628
    2   6   6   4    1.2030    79.633
    2   7   5   4    1.2028    79.643
    2   2   8   4    1.2021    79.698
    6   0  -6   2    1.2011    79.780
    5   0   4   2    1.2007    79.815
    5   1  -8   4    1.2003    79.846
    4   5   4   4    1.1998    79.883
    6   1   1   4    1.1997    79.893
    4   4  -8   4    1.1991    79.942
    2   9   1   4    1.1988    79.969
    1   7   6   4    1.1978    80.046
    3   2   7   4    1.1975    80.073
    4   6   3   4    1.1969    80.117
    2   4  -9   4    1.1958    80.206
    6   1  -6   4    1.1947    80.295
    5   1   4   4    1.1943    80.330
    1   4  -9   4    1.1935    80.395
    1   1   9   4    1.1930    80.437
    1   6   7   4    1.1902    80.662
    3   8   2   4    1.1899    80.683
    2   9  -3   4    1.1891    80.750
    6   3   0   4    1.1874    80.894
    1   9   3   4    1.1868    80.940
    4   2  -9   4    1.1857    81.032
    4   0   6   2    1.1856    81.044
    5   6  -4   4    1.1849    81.094
    2   0 -10   2    1.1842    81.157
    6   3  -5   4    1.1839    81.181
    5   6   0   4    1.1830    81.255
    3   6   5   4    1.1830    81.259
    1   7  -7   4    1.1823    81.315
    5   2  -8   4    1.1814    81.388
    6   2   1   4    1.1808    81.435
    6   4  -2   4    1.1808    81.437
    4   7  -5   4    1.1804    81.470
    6   4  -3   4    1.1801    81.494
    1   8   5   4    1.1799    81.514
    4   1   6   4    1.1794    81.557
    1   9  -4   4    1.1786    81.622
    2   1 -10   4    1.1780    81.671
    5   5  -6   4    1.1777    81.697
    2   5   7   4    1.1776    81.708
    4   4   5   4    1.1773    81.733
    2   8   4   4    1.1772    81.738
    1   0 -10   2    1.1768    81.776
    5   4  -7   4    1.1767    81.785
    6   2  -6   4    1.1761    81.836
    5   2   4   4    1.1757    81.870
    3   7   4   4    1.1754    81.894
    1   2   9   4    1.1744    81.977
    2   7  -7   4    1.1743    81.985
    5   5   2   4    1.1739    82.018
    0   9   4   4    1.1728    82.114
    1   6  -8   4    1.1727    82.124
    5   4   3   4    1.1719    82.186
    2   3   8   4    1.1710    82.267
    1   1 -10   4    1.1707    82.288
    2   6  -8   4    1.1699    82.364
    2   9   2   4    1.1693    82.412
    4   7   2   4    1.1691    82.432
    6   4  -1   4    1.1691    82.433
    3   4  -9   4    1.1686    82.471
    1   8  -6   4    1.1673    82.584
    6   4  -4   4    1.1671    82.604
    3   3   7   4    1.1667    82.639
    3   5   6   4    1.1659    82.703
    3   8  -5   4    1.1656    82.727
    3   0 -10   2    1.1626    82.989
    0   4   9   4    1.1621    83.036
    4   2   6   4    1.1614    83.093
    0   7   7   4    1.1614    83.094
    2   2 -10   4    1.1602    83.206
    4   8  -2   4    1.1597    83.248
    1   5   8   4    1.1585    83.354
    4   8  -1   4    1.1581    83.384
    0  10   0   2    1.1577    83.422
    3   1 -10   4    1.1568    83.500
    6   0   2   2    1.1564    83.539
    2   9  -4   4    1.1559    83.577
    4   3  -9   4    1.1558    83.592
    2   8  -6   4    1.1548    83.680
    5   6  -5   4    1.1547    83.684
    1   2 -10   4    1.1532    83.822
    5   6   1   4    1.1520    83.924
    0   8   6   4    1.1520    83.931
    0  10   1   4    1.1518    83.946
    5   3  -8   4    1.1518    83.946
    3   9  -1   4    1.1518    83.948
    6   3   1   4    1.1513    83.993
    4   6  -7   4    1.1511    84.008
    6   1   2   4    1.1506    84.049
    4   8  -3   4    1.1494    84.160
    3   9  -2   4    1.1485    84.238
    0   6   8   4    1.1476    84.327
    6   3  -6   4    1.1469    84.391
    5   3   4   4    1.1465    84.425
    6   4   0   4    1.1459    84.475
    1   3   9   4    1.1453    84.532
    4   5  -8   4    1.1451    84.551
    6   1  -7   4    1.1450    84.561
    4   8   0   4    1.1449    84.570
    3   8   3   4    1.1446    84.598
    1  10   0   4    1.1441    84.641
    3   9   0   4    1.1434    84.705
    1  10  -1   4    1.1430    84.738
    6   4  -5   4    1.1428    84.759
    2   5  -9   4    1.1422    84.812
    0   0  10   2    1.1420    84.835
    1   5  -9   4    1.1402    85.000
    3   2 -10   4    1.1399    85.029
    3   6  -8   4    1.1397    85.044
    1   9   4   4    1.1397    85.046
    3   7  -7   4    1.1392    85.094
    0   1  10   4    1.1365    85.344
    4   6   4   4    1.1347    85.511
    0  10   2   4    1.1346    85.517
    4   7  -6   4    1.1345    85.532
    3   9  -3   4    1.1340    85.575
    6   2   2   4    1.1340    85.577
    1  10   1   4    1.1338    85.591
    4   3   6   4    1.1333    85.642
    5   7  -2   4    1.1325    85.715
    2   3 -10   4    1.1321    85.754
